agency_ref,agency_name,program_type,county,address,city,postal_code,lat,lon,is_pickup,geocode_source
02121,BP - Neason Hill Elementary - SHBP,BackPacks,Crawford,11280 MERCER PIKE,MEADVILLE,16335,,,False,failed
02115,BP - North Clarion Elementary - SHBP,BackPacks,Clarion,10537 ROUTE 36,TIONESTA,16353,41.395198443834,-79.35754278947,False,census
02105,BP - North East Elementary Center - SHBP,BackPacks,Erie,50 EAST DIVISION STREET,NORTH EAST,16428,42.219076181395,-79.830065099347,False,census
02100,BP - Northwestern Elementary - SHBP,BackPacks,Erie,10450 JOHN WILLIAMS AVENUE,ALBION,16401,41.891592628824,-80.351515873776,False,census
02033,BP - Perry Elementary - SHBP ,BackPacks,Erie,955 WEST 29TH STREET,ERIE,16508,42.102193022779,-80.091583035083,False,census
02034,BP - Pfeiffer Burleigh - SHBP,BackPacks,Erie,235 EAST 11TH STREET,ERIE,16503,42.126141933735,-80.077332868825,False,census
02083,BP - Pinecreek Elementary - SHBP,BackPacks,Jefferson,16771 ROUTE 322,BROOKVILLE,15825,41.148913209615,-79.027108259461,False,census
02056,BP - Robert Benjamin Wiley - SHBP,BackPacks,Erie,1446 EAST LAKE ROAD,ERIE,16507,42.141278837151,-80.054588490082,False,census
02072,BP - Robison Elementary - SHBP,BackPacks,Erie,1651 ROBISON ROAD,ERIE,16509,42.046923945945,-80.067673660969,False,census
02110,BP - Sandycreek Elementary - SHBP,BackPacks,Venango,297 PONE LANE,FRANKLIN,16323,41.370147581531,-79.846218081969,False,census
02055,BP - Sarah Reed - SHBP,BackPacks,Erie,2931 HARVARD ROAD,ERIE,16508,42.095529601836,-80.110101625496,False,census
02119,BP - Second District Elementary - SHBP,BackPacks,Crawford,11280 MERCER PIKE,MEADVILLE,16335,,,False,failed
02070,BP - Sheffield Area Elementary - SHBP,BackPacks,Warren,6760 ROUTE 6,SHEFFIELD,16347,,,False,failed
02057,BP - Springfield Elementary - SHBP,BackPacks,Erie,11911 BOND STREET,EAST SPRINGFIELD,16411,41.964413311238,-80.405171153664,False,census
02086,BP - St Marys Elementary - SHBP,BackPacks,Elk,370 S SAINT MARY'S STREET,ST MARYS,15857,41.424303030898,-78.561171418868,False,census
02075,BP - Tidioute Community Charter School - SHBP,BackPacks,Warren,241 MAIN STREET,TIDIOUTE,16351,41.68312258677,-79.402222362367,False,census
02078,BP - Tracy Elementary - SHBP,BackPacks,Erie,2624 WEST 6TH STREET,ERIE,16505,42.108033099822,-80.143053876225,False,census
02111,BP - Union City Elementary - SHBP,BackPacks,Erie,91 MILES STREET,UNION CITY,16438,41.88974921942,-79.84593081214,False,census
02109,BP - Victory Elementary - SHBP,BackPacks,Venango,1819 GEORGETOWN ROAD,HARRISVILLE,16038,41.213832748719,-79.942198492372,False,census
02076,BP - Warren Area Elementary - SHBP,BackPacks,Warren,343 EAST FIFTH AVENUE,WARREN,16365,41.855285423795,-79.135067107291,False,census
02073,BP - Waterford Elementary - SHBP,BackPacks,Erie,323 CHERRY STREET,WATERFORD,16441,41.943098220599,-79.982879147465,False,census
02120,BP - West End Elementary - SHBP,BackPacks,Crawford,11280 MERCER PIKE,MEADVILLE,16335,,,False,failed
02051,BP - West Forest Elementary - SHBP,BackPacks,Forest,22318 ROUTE 62,TIONESTA,16353,41.546805569782,-79.431169037461,False,census
02096,BP - Woodland Elementary - SHBP,BackPacks,Cameron,603 WOODLAND AVENUE,EMPORIUM,15834,41.513205802829,-78.246036760553,False,census
02071,BP - Youngsville Elementary - SHBP,BackPacks,Warren,232 SECOND AVENUE,YOUNGSVILLE,16371,41.850047431388,-79.326235343515,False,census
01012,Brookville Area - FP,Food Pantry,Jefferson,142 ALLEGHENY BOULEVARD PO BOX 62,BROOKVILLE,15825,41.158298462073,-79.098592215592,True,census
01632,Cameron County Community - FP,Food Pantry,Cameron,135 WEST 4TH STREET PO BOX 389,EMPORIUM,15834,41.511312688644,-78.240580744339,True,census
01278,Cathedral of St Paul - FP,Food Pantry,Erie,134 WEST 7TH STREET,ERIE,16501,42.127759724075,-80.086567187246,False,census
01255,Center For Family Services - FP,Food Pantry,Crawford,205 Walnut Street,MEADVILLE,16335,41.640343972798,-80.153780782541,True,census
07002,Centerville Fellowship Church - FP,Just In Time,Crawford,18786 ERIE STREET,CENTERVILLE,16404,41.738993341365,-79.764094780175,False,census
07004,Chapel on the Hill - FP,Just In Time,Venango,6202 EMLENTON CLINTONVILLE ROAD,EMLENTON,16373,41.177519007171,-79.745867506315,False,census
01052,Christian Cupboard - FP,Food Pantry,Erie,260 EAST MAIN STREET P.O. Box 106,GIRARD,16417,42.002816537577,-80.313717444739,True,census
01662,Christian Food Bank - FP,Food Pantry,Elk,817 SOUTH MICHAEL STREET,ST MARYS,15857,41.420390898797,-78.545631159474,True,census
06047,Church of the Ascension - FP,Just In Time,Mckean,26 CHAUTAUQUA PLACE PO BOX  337,BRADFORD,16701,41.955548521148,-78.65188099811,False,census
01474,Church of the Nativity - FP,Food Pantry,Erie,109 GERMAN STREET,ERIE,16507,42.136455401524,-80.082188669667,False,census
03017,City Mission Shelter - SK,Soup Kitchen,Erie,1023 FRENCH STREET,ERIE,16501,42.125767549439,-80.081034398581,True,census
01671,Clarion First United Methodist Church - FP,Food Pantry,Clarion,600 WOOD STREET,CLARION,16214,41.212885663623,-79.384716075037,True,census
09765,Clark Elementary - SCHOOL PANTRY ,School Pantry,Erie,3650 DEPOT ROAD,ERIE,16510,42.147629227175,-79.938988009699,False,census
10098,Clearfield - Military Share,Produce Express,Clearfield,1004 S Main St,Dubois,15801,41.111047509852,-78.777249056625,False,census
01639,Clearfield Ministerium - FP,Food Pantry,Clearfield,212 HAMMERMILL RD,CLEARFIELD,16830,41.025427640162,-78.416084022595,True,census
09793,Collegiate Academy - SCHOOL PANTRY,School Pantry,Erie,2825 STATE STREET,ERIE,16508,,,False,failed
01021,Community of Caring - FP,Food Pantry,Erie,261 EAST 21ST STREET,ERIE,16503,42.117921296318,-80.071115644582,True,census
01266,Community of Caring Diabetic - FP,Food Pantry,Erie,261 EAST 21ST STREET,ERIE,16503,42.117921296318,-80.071115644582,False,census
03020,Community of Caring- SH,Shelter,Erie,245 EAST 8TH STREET P.O. BOX 204,ERIE,16512,42.129204644715,-80.079051102727,True,census
01583,Community Pantry Project - FP,Food Pantry,Venango,211 FRANKLIN ST. P.O. BOX 248,Kennerdell,16374,,,True,failed
03022,Community Shelter Service,Shelter,Erie,652 WEST 17TH STREET,ERIE,16502,42.114010983216,-80.093041583388,True,census
01539,Conneaut Valley - FP,Food Pantry,Crawford,140 S MAIN STREET,SPRINGBORO,16406,41.800217289014,-80.368640841107,True,census
01651,Cornerstone Church of God - FP,Food Pantry,Clarion,129 PINE STREET,FAIRMOUNT CITY,16224,41.011456883754,-79.28774349675,False,census
01696,Cornerstone Erie Liberty Community Church - FP,Food Pantry,Erie,2220 WAYNE STREET,ERIE,16503,42.121516929155,-80.058054161458,True,census
10700,Corry - SHFB MOBILE,Produce Express,Erie,650 WORTH STREET,CORRY,16407,41.932390071401,-79.651904160023,False,census
01027,Corry Area - FP,Food Pantry,Erie,1318 WEST MAIN ST. EXT. PO BOX 236,CORRY,16407,41.91668388425,-79.654451549932,True,census
09756,Corry Area High School - SCHOOL PANTRY ,School Pantry,Erie,534 EAST PLEASANT STREET,CORRY,16407,41.919431320007,-79.627096568899,False,census
01562,Cranberry Area - FP,Food Pantry,Venango,224 SOUTH MAIN STREET P.O.BOX 446,SENECA,16346,41.378767426994,-79.702260895199,True,census
09790,Cranberry Jr/Sr High School - SCHOOL PANTRY ,School Pantry,Venango,1 EDUCATION DRIVE,SENECA,16346,41.366853541634,-79.709415441908,False,census
01595,Cross Town Punxy - FP,Food Pantry,Jefferson,WOODLAND AVE UM CHURCH 201 WOODLAND AVE,PUNXSUTAWNEY,15767,40.943775366771,-78.961957757369,True,census
11184,CSFP - 4 NINE,Other,Erie,103 CLAY STREET,NORTH EAST,16428,42.213622187246,-79.829759821622,False,census
11005,CSFP - ALLEGHENY HILLS RETIREMENT RESIDENCE,Other,Clarion,421 KELLYS WAY,EAST BRADY,16214,40.987173093069,-79.615992621412,False,census
11206,CSFP - ASSOCIATED CHARITIES,Other,Crawford,419 EAST CENTRAL AVE,TITUSVILLE,16354,41.627520456177,-79.666173864607,False,census
11117,CSFP - BARNETT BUILDING: ALBION,Other,Erie,32 WEST PEARL,ALBION,16401,41.892361599265,-80.36793272863,False,census
11022,CSFP - BARTLETT GARDENS,Other,Crawford,257 SOUTH MAIN ST.,CAMBRIDGE SPRINGS,16403,41.802808203731,-80.058062726757,False,census
11130,CSFP - BATTLES VILLAGE APARTMENTS,Other,Erie,203 MAIN STREET,GIRARD,16417,41.998705268064,-80.320648354533,False,census
11159,CSFP - BETHANY OUTREACH CENTER,Other,Erie,204 W 11th STREET,ERIE,16503,42.123091089186,-80.085898966537,False,census
11020,CSFP - BILLIE BROWN BUILDING,Other,Crawford,227 WATER ST.,TITUSVILLE,16354,41.625131182656,-79.66860050337,False,census
11006,CSFP - BROADWOOD TOWERS,Other,Clarion,400 BROAD STREET,NEW BETHLEHEM,16242,41.0014020761,-79.331359697682,False,census
11068,CSFP - BROOKVILLE AREA FOOD PANTRY,Other,Jefferson,142 ALLEGHENY BLVD PO BOX 62,BROOKVILLE,15825,41.158298462073,-79.098592215592,False,census
11095,CSFP - CANTERBURY COURT,Other,Warren,310 LIBERTY STREET,WARREN,16365,41.846540920194,-79.147731561883,False,census
11201,CSFP - CASCADE VILLAGE,Other,Jefferson,219 WEST LIBERTY STREET,SYKESVILLE,15865,41.04816624333,-78.823107585391,False,census
11074,CSFP - CENTRAL TOWERS: MCKEAN,Other,Mckean,130 GREEVES STREET,KANE,16735,41.659927629272,-78.80812928566,False,census
11099,CSFP - CHARITABLE DEEDS,Other,Clarion,260 HIGH POINT RD,KNOX,16232,41.188625083143,-79.544528689135,False,census
11008,CSFP - CHERRY RUN ESTATES,Other,Clarion,514 CHESTNUT STREET,RIMERSBURG,16248,41.041779170681,-79.504377806974,False,census
11168,CSFP - CHRIST EPISCOPAL CHURCH,Other,Venango,16 CENTRAL AVENUE,OIL CITY,16301,41.428676199739,-79.71116453614,False,census
11217,CSFP - CLARION FIRST UNITED METHODIST CHURCH FOOD PANTRY,Other,Clarion,600 WOOD STREET,CLARION,16214,41.212885663623,-79.384716075037,False,census
11142,CSFP - COLLEGE VIEW MANOR APARTMENTS,Other,Erie,65 N PEARL STREET,NORTH EAST,16428,42.216888709924,-79.837246285399,False,census
11085,CSFP - COMMUNITY SERVICES OF VENANGO,Other,Venango,203 CENTER STREET,OIL CITY,16301,41.434130574285,-79.707711708342,False,census
11096,CSFP - CONEWANGO TOWERS,Other,Warren,108 OAK STREET,WARREN,16365,41.841766443749,-79.139876520689,False,census
11186,"CSFP - CONNEAUT VALLEY FOOD PANTRY, INC.",Other,Crawford,140 SOUTH MAIN STREET,SPRINGBORO,16435,41.800217289014,-80.368640841107,False,census
11133,CSFP - CORRY AREA FOOD PANTRY,Other,Erie,PO Box 236,Corry,16407,,,False,failed
11091,CSFP - CRANBERRY AREA FOOD PANTRY,Other,Venango,224 SOUTH MAIN ST.,CRANBERRY,16346,41.378767426994,-79.702260895199,False,census
11208,CSFP - CURRY-SCHELL APARTMENTS,Other,Erie,3909 SCHAPER AVENUE,ERIE,16509,42.083890604404,-80.11293739126,False,census
11030,CSFP - DAN DICKINSON APARTMENTS: ELK COUNTY HOUSING AUTHORITY,Other,Elk,101 N. MILL STREET,RIDGWAY,15853,41.422671824247,-78.732235221181,False,census
11112,CSFP - DECATUR VILLAGE,Other,Clearfield,65 IRWIN DRIVE,PHILIPSBURG,16866,40.900665313148,-78.235393496511,False,census
11200,CSFP - DESTINATIONS BRADFORD,Other,Mckean,1 MAIN STREET,BRADFORD,16701,41.955909465153,-78.651265430577,False,census
11209,CSFP - DOOR DASH ERIE COUNTY,Other,Erie,1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
11103,CSFP - DOOR DASH VENANGO COUNTY @ CHRIST UNITED METHODIST CHURCH,Other,Venango,1127 CHESTNUT ST. CHURCH PARKING LOT,FRANKLIN,16323,41.394535371268,-79.829202456847,False,census
11013,CSFP - DUBOIS AREA FOOD PANTRY,Other,Clearfield,228 1ST STREET,DUBOIS,15801,41.130039178326,-78.757552239677,False,census
11031,CSFP - DUFFY APARTMENTS: ELK COUNTY HOUSING AUTHORITY,Other,Elk,424 WATER ST EXT PO BOX 100,JOHNSONBURG,15845,41.500585935146,-78.695014290853,False,census
11114,CSFP - EDINBORO FOOD PANTRY,Other,Erie,WILEY HALL,EDINBORO,16412,,,False,failed
11036,CSFP - ELK TOWERS,Other,Elk,185 CENTER ST,ST MARYS,15857,41.427610918441,-78.563645749594,False,census
11131,CSFP - ELK VALLEY MANOR,Other,Erie,5181 WESTGATE DRIVE,GIRARD,16417,42.006368036328,-80.302899501647,False,census
11001,CSFP - EMPORIUM ARMS,Other,Cameron,324 WEST 4TH STREET,EMPORIUM,15834,41.511200211679,-78.244561997197,False,census
11178,CSFP - ENDLESS MOUNTAINS METHODIST CHURCH,Other,Cameron,306 SOUTH SPRUCE STREET,EMPORIUM,15834,41.51146338191,-78.23143179388,False,census
11088,CSFP - FRANKLIN TOWERS,Other,Venango,1220 CHESTNUT STREET URBAN INNOVATIONS,FRANKLIN,16323,41.395762471846,-79.830247367124,False,census
11137,CSFP - FREE METHODIST CHURCH,Other,Warren,210 JAMESTOWN STREET,SUGAR GROVE,16350,41.986338514354,-79.333680589872,False,census
11041,CSFP - FRIENDSHIP APARTMENTS,Other,Erie,111 EAST 11 TH STREET,ERIE,16501,42.125181679081,-80.079933964671,False,census
11214,CSFP - GATHERED FROM THE GROVE FOOD PANTRY,Other,Mckean,12 KNAPP ROAD,PORT ALLEGANY,16743,,,False,failed
11059,CSFP - GRANDVIEW MANOR,Other,Erie,4210 DAVISON,ERIE,16504,42.109984271721,-80.030259258991,False,census
11098,CSFP - HAWK RUN APARTMENTS,Other,Clearfield,140 6TH STREET,CLEARFIELD,16840,40.923140860743,-78.200178878193,False,census
11210,CSFP - HAWK RUN APARTMENTS: PARKING LOT,Other,Clearfield,140 SIXTH STREET,CLEARFIELD,16840,40.923140860743,-78.200178878193,False,census
11181,CSFP - HIGHLAND VILLAGE APARTMENTS,Other,Erie,12220 YMCA DR.,EDINBORO,16412,41.881166111326,-80.154208175462,False,census
11062,CSFP - HIGHPOINT TOWERS,Other,Erie,2314 SASSAFRAS STREET,ERIE,16502,42.112883094632,-80.078948247353,False,census
11027,CSFP - HOLLAND TOWERS,Other,Crawford,1120 MARKET ST.,MEADVILLE,16335,41.633184891735,-80.155619779447,False,census
11113,CSFP - JEFFERSON STREET HIGHRISE,Other,Jefferson,201 N JEFFERSON STREET,PUNXSUTAWNEY,15767,40.944662535985,-78.97031493832,False,census
11060,CSFP - JOHN F. KENNEDY CENTER,Other,Erie,2021 E 20 TH STREET,ERIE,16510,42.133765681077,-80.032419755603,False,census
11197,CSFP - JOHN HORAN GARDEN APARTMENTS,Other,Erie,730 TACOMA ROAD,ERIE,16511,42.144446450015,-80.037667614046,False,census
11077,CSFP - KANE AREA COMMUNITY CENTER,Other,Mckean,46 FRALEY STREET,KANE,16735,41.653800751129,-78.810994644473,False,census
11004,CSFP - LIBERTY TOWERS,Other,Clarion,624 LIBERTY STREET,CLARION,16214,41.214910752413,-79.382768399721,False,census
11163,CSFP - LIFE NWPA,Other,Erie,121 WEST 12TH STREET,ERIE,16502,42.122733368972,-80.083137455957,False,census
11127,CSFP - LINESVILLE AREA FOOD PANTRY,Other,Crawford,401 SOUTH MERCER STREET,LINESVILLE,16424,41.65197146845,-80.425433857806,False,census
11203,CSFP - LIVING BREAD MINISTRIES,Other,Clearfield,628 DAISY ST,CLEARFIELD,16830,41.028554343455,-78.42961347883,False,census
11087,CSFP - LUTHER PLACE APARTMENTS,Other,Venango,1 SYCAMORE STREET,OIL CITY,16301,41.433563334421,-79.708833011346,False,census
11162,CSFP - MAHONING TOWERS,Other,Jefferson,300 E. MAHONING,PUNXSUTAWNEY,15767,40.944395162802,-78.968012164606,False,census
11037,CSFP - METHODIST TOWERS,Other,Erie,160 W 8TH STREET,ERIE,16501,42.126266694494,-80.08734712874,False,census
11211,CSFP - MOUNT JEWETT HILLTOP HERITAGE COALITION,Other,Mckean,1 GALLUP AVE. MT JEWETT FIRE HALL,MT. JEWETT,16740,41.724845247494,-78.640663258023,False,census
11155,CSFP - NORTH CLARION/MARIENVILLE FOOD PANTRY,Other,Forest,201 NORTH FOREST STREET,MARIENVILLE,16239,41.471610822483,-79.123484020974,False,census
11069,CSFP - NORTH FORK HEIGHTS,Other,Jefferson,22 SPRUCE STREET,BROOKVILLE,15825,41.157853265628,-79.072145102424,False,census
11042,CSFP - OSTROW APARTMENTS,Other,Erie,4220 DAVISON AVENUE,ERIE,16504,42.109798782434,-80.030141738655,False,census
11172,CSFP - PALFUND ASSOCIATION,Other,Crawford,201 MCHALE DRIVE,LINESVILLE,16424,41.655028117921,-80.425765140433,False,census
11017,CSFP - PARK AVENUE TOWERS,Other,Clearfield,420 PARK AVENUE,CURWENSVILLE,16833,40.965163902719,-78.519520105654,False,census
11144,CSFP - PLEASANT MANOR APARTMENTS,Other,Erie,251 W PLEASANT STREET,CORRY,16407,41.918132795182,-79.643063780871,False,census
11187,CSFP - REGENCY COMMONS,Other,Clarion,157 SOUTH 5TH AVE.,CLARION,16214,41.210346911145,-79.388620897321,False,census
11039,CSFP - RICHFORD ARMS APARTMENTS,Other,Erie,515 STATE STREET,ERIE,16501,42.13008309453,-80.085576387507,False,census
11220,CSFP - ROCKY GROVE,Other,Venango,39 PARKER AVE,FRANKLIN,16323,41.410410047552,-79.824971372969,False,census
11051,CSFP - SAINT JOSEPH APARTMENTS,Other,Erie,517 MARYLAND AVE,ERIE,16501,42.114112091674,-80.129785185918,False,census
11093,CSFP - SAINT JOSEPH CHURCH,Other,Warren,608 PENNSYLVANIA AVENUE WEST,WARREN,16365,41.845484292171,-79.153539141183,False,census
11035,CSFP - SAINT JOSEPH'S TERRACE,Other,Elk,45 PLUM STREET,WEEDVILLE,15868,41.275639456879,-78.496558238248,False,census
11111,CSFP - SAINT MICHAEL TERRACE,Other,Clearfield,111 W. LONG AVE,DUBOIS,15801,41.119758326951,-78.76367281305,False,census
11213,CSFP - SAINT PATRICK CHURCH FOOD PANTRY,Other,Venango,952 BUFFALO STREET,FRANKLIN,16323,41.392097017316,-79.826189113385,False,census
11212,CSFP - SAINT PAUL LUTHERAN CHURCH - CAMBRIDGE SPRINGS,Other,Crawford,124 SNOW ALLEY,CAMBRIDGE SPRINGS,16403,,,False,failed
11115,CSFP - SALSBURY APARTMENTS,Other,Erie,4004 PACIFIC AVENUE,ERIE,16506,42.08189209184,-80.119637010614,False,census
11082,CSFP - SALVATION ARMY: BRADFORD,Other,Mckean,111 JACKSON AVE. P.O. BOX 314,BRADFORD,16701,41.961901063,-78.647353567403,False,census
11160,"CSFP - SALVATION ARMY: ELK COUNTY (RIDGWAY, PA)",Other,Elk,245 MAIN STREET,RIDGWAY,15853,41.421888188652,-78.730108324428,False,census
11058,CSFP - SALVATION ARMY: ERIE,Other,Erie,1022 LIBERTY STREET,ERIE,16502,42.118938763563,-80.099483049725,False,census
11192,CSFP - SALVATION ARMY: PUNXSUTAWNEY,Other,Jefferson,229 WEST MAHONING STREET,PUNXSUTAWNEY,15767,40.943079029336,-78.973117270008,False,census
11125,CSFP - SAMARITANS OF CONNEAUT LAKE,Other,Crawford,155 SOUTH 9TH STREET,CONNEAUT LAKE,16335,41.60313874472,-80.313379733346,False,census
11040,CSFP - SCHMID TOWERS,Other,Erie,153 E 6TH STREET,ERIE,16501,42.130339869717,-80.082607261729,False,census
11216,CSFP - SECOND STREET FOOD PANTRY,Other,Warren,18 2ND STREET,YOUNGSVILLE,16371,41.852670903953,-79.320071755123,False,census
11218,CSFP - SHEFFIELD AREA FOOD PANTRY,Other,Warren,18 LEATHER STREET,SHEFFIELD,16347,41.701999830875,-79.033102660976,False,census
11120,CSFP - SHFB SENIOR FOOD BOX DISTRIBUTION,Other,Erie,1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
11105,CSFP - STONE UMC: MEADVILLE,Other,Crawford,956 S MAIN STREET,MEADVILLE,16335,41.637059878283,-80.150632765856,False,census
11219,CSFP - STRATTANVILLE METHODIST CHURCH,Other,Clarion,441 WASHINGTON STREET,STRATTANVILLE,16258,41.203408890693,-79.32709340281,False,census
11202,CSFP - SUNRISE TERRACE,Other,Jefferson,724 WILLOW ST,REYNOLDSVILLE,15851,41.092720963242,-78.884314841526,False,census
11073,CSFP - SYCAMORE APARTMENTS,Other,Jefferson,505 SYCAMORE ST.,PUNXSUTAWNEY,15767,40.94870653227,-78.982275999156,False,census
11149,CSFP - THE FEDERATED CHURCH,Other,Erie,11995 MAIN STREET,EAST SPRINGFIELD,16411,41.965023913113,-80.407403885927,False,census
11065,CSFP - THE FOUNDRY,Other,Jefferson,45 WEST MAIN STREET,REYNOLDSVILLE,15851,41.099904882397,-78.89317033502,False,census
11123,CSFP - TIDIOUTE TOWERS,Other,Warren,174 MAIN ST.,TIDIOUTE,16351,41.683425531232,-79.410293597834,False,census
11067,CSFP - TOBY TERRACE,Other,Jefferson,717 MAIN STREET,BROCKWAY,15824,41.248396232966,-78.794684174967,False,census
11038,CSFP - TULLIO TOWERS,Other,Erie,21 W 9TH STREET,ERIE,16501,42.126338483735,-80.083581391206,False,census
11152,CSFP - UNION CITY FULL GOSPEL CHURCH,Other,Erie,7605 ROUTE 97,UNION CITY,16438,41.904579407891,-79.884315832582,False,census
11145,CSFP - UNION CITY SENIOR CENTER,Other,Erie,27 JOHNSON STREET,UNION CITY,16438,41.891901542941,-79.846344312145,False,census
11173,CSFP - VILLA APARTMENTS,Other,Erie,819 WEST 8TH STREET,ERIE,16502,42.121015602044,-80.101225967614,False,census
11183,CSFP - WATERFORD AREA FOOD PANTRY,Other,Erie,140 W 6TH STREET,WATERFORD,16441,41.946305305319,-79.983799348748,False,census
